a-lona-le-utse-le-ithuta-dithuto-tseo-tsa-lona;Drum;Ensemble leader;Metal, struck;Vocals, group
abalala-bafuma-ili-batemuna;Bottle, struck;Drum, goblet;Mbira, kankowele;Mirliton;Vocals, group
kaba-nyoro;Drum, conical;Ensemble leader;Ilenga flute ensemble;Nyamulera;Vocals, group
kahwahwe;Drum, conical;Ekinongo;Ensemble leader;Enyungu;Omubanda;Omukuli;Rattle, raft;Vocals;Vocals, group
kalubambu-tambo-abibongo;Drum, goblet;Drum, slit;Ensemble leader;Mbira, chisanzhi (Kanyok, board);Mirliton;Rattle, basket;Silimba;Vocals
kawulu;Drum, conical;Endongo;Ndingidi;Ntongoli;Vocals
kemfumye-shukurani-mtemi-mpya;Bell, ankle;Drum, conical;Drum, goblet;Ensemble leader;Lugaya trio;Mahuge;Manyanga ensemble;Muziki;Ndandale;Ndondo;Vocals;Vocals, group
kurungi-ngweyo;Drum, conical;Ekinongo;Ensemble leader;Enyungu;Omubanda;Omukuli;Rattle, raft;Vocals;Vocals, group
kwahere-wasalenge;Bell, ankle;Drum, conical;Drum, goblet;Ensemble leader;Lugaya trio;Mahuge;Manyanga ensemble;Muziki;Ndandale;Ndondo;Vocals;Vocals, group
madzimure;Chipendani;Drum;Ensemble leader;Mbira, njari;Rattle, ankle;Vocals;Vocals, group
malenge;Drum, conical;Ensemble leader;Ilenga flute ensemble;Nyamulera;Vocals, group
masilo-tswalela-kgoro;Drum;Ensemble leader;Metal, struck;Vocals, group
matichere-le-go-tshwara-diketlele;Drum;Ensemble leader;Metal, struck;Vocals, group
mobai;Chamutanda;Drum, cylindrical;Drum, goblet;Ensemble leader;Gogogo;Kayanda;Kingaridi;Milupa ;Milupa trio;Mujinji;Mulai;Muntundu;Namalwa;Ngoma;Ngoma drum ensemble;Nyele;Nyele horn ensemble;Pati;Pininga;Silimba;Sticks, struck;Vocals, group
mpolelle-pitso-e-kgolo;Drum;Ensemble leader;Metal, struck;Vocals, group
mshatulo-kwenda-ovyo;Drum, cylindrical;Drum, goblet;Ensemble leader;Rattle;Sticks, friction;Viyanzi;Vocals, group
mtemi-mfalume-wize-mpya;Bell, ankle;Drum, conical;Drum, goblet;Ensemble leader;Lugaya trio;Mahuge;Manyanga ensemble;Muziki;Ndandale;Ndondo;Vocals;Vocals, group
muchima-ngoyi-muchungu;Drum, goblet;Drum, slit;Ensemble leader;Mbira, chisanzhi (Kanyok, board);Mirliton;Rattle, basket;Silimba;Vocals
mufupi-hainyari;Chipendani;Drum;Ensemble leader;Mbira, njari;Rattle, ankle;Vocals;Vocals, group
muganda-we-chitonga-banda;Bass drum;Chandi;Drum, cylindrical;Ensemble leader;Malipenga;Muganda;Vocals
mungore;Bass drum;Chandi;Drum, cylindrical;Ensemble leader;Malipenga;Muganda;Vocals
muyomba-walila-bukeni-mwebalasa-inama!;Bottle, struck;Drum, goblet;Mbira, kankowele;Mirliton;Vocals, group
muzazaranda;Chipendani;Drum;Ensemble leader;Mbira, njari;Rattle, ankle;Vocals;Vocals, group
muzemu;Chamutanda;Drum, cylindrical;Drum, goblet;Ensemble leader;Gogogo;Kayanda;Kingaridi;Milupa ;Milupa trio;Mujinji;Mulai;Muntundu;Namalwa;Ngoma;Ngoma drum ensemble;Nyele;Nyele horn ensemble;Pati;Pininga;Silimba;Sticks, struck;Vocals, group
mwehanensu-ifitala;Drum, cylindrical;Ensemble leader;Vocals, group
mwilu-mwatuluka-womama-yami-e!;Drum, conical;Drum, goblet;Iyashina;Mukundu ;Sticks, struck;Vocals, group;Yasongo
nahawandi;Drum;Udi;Vocals;Vocals, group
nalongana-maani;Bottle, struck;Chipeni;Drum, goblet;Flute, side-blown;Guitar;Mbira, chisanzhi (Luba, box);Mbira, chizanshi;Mirliton;Rattle;Vocals;Vocals, group
nandi-ubeya-kumikoti;Drum, cylindrical;Ensemble leader;Vocals, group
ndaboola-oko;Chamutanda;Drum, cylindrical;Drum, goblet;Ensemble leader;Gogogo;Kayanda;Kingaridi;Milupa ;Milupa trio;Mujinji;Mulai;Muntundu;Namalwa;Ngoma;Ngoma drum ensemble;Nyele;Nyele horn ensemble;Pati;Pininga;Silimba;Sticks, struck;Vocals, group
ndiza-fera-chuma;Bangwe;Bottle, struck;Concertina;Drum, double-headed;Guitar;Metal, struck;Vocals;Vocals, group
ngej-kaku-mumeneka-weya-ya-mama;Drum, conical;Drum, goblet;Iyashina;Mukundu ;Sticks, struck;Vocals, group;Yasongo
ngoma-2;Chamutanda;Drum, cylindrical;Drum, goblet;Ensemble leader;Gogogo;Kayanda;Kingaridi;Milupa ;Milupa trio;Mujinji;Mulai;Muntundu;Namalwa;Ngoma;Ngoma drum ensemble;Nyele;Nyele horn ensemble;Pati;Pininga;Silimba;Sticks, struck;Vocals, group
ngwindingwindi-ishumba-inoruma;Chipendani;Drum;Ensemble leader;Mbira, njari;Rattle, ankle;Vocals;Vocals, group
nyama-yonsi-uninkha-amako;Bangwe;Bottle, struck;Concertina;Drum, double-headed;Guitar;Metal, struck;Vocals;Vocals, group
nyamwanga-obuyaza-buganda;Drum, conical;Ekinongo;Ensemble leader;Enyungu;Omubanda;Omukuli;Rattle, raft;Vocals;Vocals, group
omubaliya;Drum, conical;Ensemble leader;Ilenga flute ensemble;Nyamulera;Vocals, group
omurimo-gwangye;Drum, conical;Ekinongo;Ensemble leader;Enyungu;Omubanda;Omukuli;Rattle, raft;Vocals;Vocals, group
osibye-otyano;Drum, conical;Endongo;Ndingidi;Ntongoli;Vocals
owe-owe-matebeleng!;Drum;Ensemble leader;Metal, struck;Vocals, group
re-a-ya-ka-uhogo-ya-motho;Drum;Ensemble leader;Metal, struck;Vocals, group
rungano-rgwe-rombe;Chipendani;Drum;Ensemble leader;Mbira, njari;Rattle, ankle;Vocals;Vocals, group
salve-regina;Drum;Udi;Vocals;Vocals, group
shabansa-katende;Bottle, struck;Chipeni;Drum, goblet;Flute, side-blown;Guitar;Mbira, chisanzhi (Luba, box);Mbira, chizanshi;Mirliton;Rattle;Vocals;Vocals, group
shombo-binti-hasani;Banjo;Bass drum;Drum, conical;Duff;Ensemble leader;Flute, side-blown;Kazoo;Malimba;Mandolin;Rattle, basket;Udi;Vocals;Whistle
sikere-ka-lenaka;Drum;Ensemble leader;Metal, struck;Vocals, group
tapali-ataleya-ka-mumbo;Drum, cylindrical;Ensemble leader;Vocals, group
thembsie;Dance band;Drum;Ensemble leader;Guitar;Guitar, electric;Piano;Saxophone;Trumpet;Vocals;Vocals, group
tlalerwa-re-humanega;Drum;Ensemble leader;Metal, struck;Vocals, group
tlotlang-kgosi;Drum;Ensemble leader;Metal, struck;Vocals, group
tokora;Drum, conical;Ensemble leader;Ilenga flute ensemble;Nyamulera;Vocals, group
uchaucha-kina-mama;Drum, cylindrical;Drum, goblet;Ensemble leader;Rattle;Sticks, friction;Viyanzi;Vocals, group
wacheni-tamaa;Banjo;Bass drum;Drum, conical;Duff;Ensemble leader;Flute, side-blown;Kazoo;Malimba;Mandolin;Rattle, basket;Udi;Vocals;Whistle
waluwendo-chombelo;Drum, goblet;Drum, slit;Ensemble leader;Mbira, chisanzhi (Kanyok, board);Mirliton;Rattle, basket;Silimba;Vocals
wantaga-kwabule-abudali;Bell, ankle;Drum, conical;Drum, goblet;Ensemble leader;Lugaya trio;Mahuge;Manyanga ensemble;Muziki;Ndandale;Ndondo;Vocals;Vocals, group
wapezia-wamabela;Bell, ankle;Drum, conical;Drum, goblet;Ensemble leader;Lugaya trio;Mahuge;Manyanga ensemble;Muziki;Ndandale;Ndondo;Vocals;Vocals, group
we-mulanda-e-muchalo-chelamba;Drum, cylindrical;Ensemble leader;Vocals, group
wenda-nemukwene-wa-mudinga;Bottle, struck;Chipeni;Drum, goblet;Flute, side-blown;Guitar;Mbira, chisanzhi (Luba, box);Mbira, chizanshi;Mirliton;Rattle;Vocals;Vocals, group
wiyo-walipulapula-uganga;Bell, ankle;Drum, conical;Drum, goblet;Ensemble leader;Lugaya trio;Mahuge;Manyanga ensemble;Muziki;Ndandale;Ndondo;Vocals;Vocals, group
yalila-ngololo-kutwaga-belega;Chamutanda;Drum, cylindrical;Drum, goblet;Ensemble leader;Gogogo;Kayanda;Kingaridi;Milupa ;Milupa trio;Mujinji;Mulai;Muntundu;Namalwa;Ngoma;Ngoma drum ensemble;Nyele;Nyele horn ensemble;Pati;Pininga;Silimba;Sticks, struck;Vocals, group
yawiyanga-ya-kulumbata-nyama;Drum, conical;Drum, goblet;Iyashina;Mukundu ;Sticks, struck;Vocals, group;Yasongo
yombela;Dance band;Drum;Ensemble leader;Guitar;Guitar, electric;Piano;Saxophone;Trumpet;Vocals;Vocals, group
zhikita;Drum, conical;Drum, goblet;Iyashina;Mukundu ;Sticks, struck;Vocals, group;Yasongo
zimbige;Chipendani;Drum;Ensemble leader;Mbira, njari;Rattle, ankle;Vocals;Vocals, group
